track_id,energy,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence
01e8dGbulrphX8j3fZDQYk,0.715,117.956,0.0445,0.0849,0.000316,0.614,-6.451,0.231
01f4pMeB8tVxaJsKjnEcEq,0.799,103.01,0.0342,0.000288,0.0249,0.634,-6.678,0.299
01fFmXmAsNP4ahSVtLUfo9,0.752,96.985,0.0573,0.109,6.41e-06,0.738,-6.637,0.576
01fYzmjHLT81Cwvh8I3r9U,0.762,140.048,0.217,0.0454,7.61e-05,0.664,-4.843,0.365
01gDLZsi0j5fWC28FLPNO8,0.975,138.341,0.0651,0.141,0.501,0.584,-6.534,0.876
01gNiOqg8u7vT90uVgOVmz,0.398,119.973,0.0558,0.135,3.78e-06,0.51,-8.75,0.382
01hF9Ah13aSaKcCnH3hm9p,0.192,98.371,0.0448,0.638,2.02e-06,0.597,-11.003,0.304
01hJnhpAmjzg85Etnz2ECH,0.249,94.746,0.0277,0.87,5.09e-05,0.342,-11.812,0.203
01i3BDtgXG4mXQ3lXIWfqj,0.802,179.547,0.133,0.143,0.0,0.346,-5.135,0.624
01iH3JPmssBG2T1EEvy9sc,0.422,133.621,0.0474,0.904,0.766,0.326,-15.205,0.265
01iIIgdoDuKn3yaNguCMmG,0.63,119.983,0.0603,0.1,0.0,0.575,-5.516,0.558
01iqauZTpaayVGlVXhH2Ea,0.043,118.101,0.0429,0.983,0.0,0.445,-18.373,0.189
01iyCAUm8EvOFqVWYJ3dVX,0.87,100.804,0.0428,0.358,0.000939,0.543,-6.514,0.754
01iyINEYgPQ7ThMZuHUsqS,0.938,94.38,0.35,0.0257,1.39e-05,0.619,-5.245,0.601
01jlZ4UvMwJ0hPOZLsD1VO,0.627,140.104,0.03,0.339,0.0,0.473,-4.836,0.359
01ksPzu3Bw8Lsf9o6xIk8C,0.639,121.033,0.0437,0.62,0.0,0.844,-4.461,0.974
01lkebNvMjSmAjvfdVNLoY,0.517,99.938,0.0453,0.117,0.0,0.641,-7.264,0.536
01mOYL4NbFgqBK8sssmVBb,0.333,110.032,0.0326,0.851,0.0,0.608,-7.485,0.527
01nkjRsgpYwtbH94l7y4cg,0.877,96.993,0.0484,0.137,0.0,0.501,-6.369,0.268
01oEJevCPJi7kNekR0nG7h,0.851,84.396,0.0613,0.767,2.88e-05,0.812,-4.687,0.97
01omGHR3eotxaVOYKLgufU,0.629,159.977,0.0451,0.106,0.0,0.699,-9.123,0.615
01pgHbtziFmLnaIdTbz3FK,0.454,120.06,0.0352,0.757,0.0,0.755,-9.609,0.331
01pzcKbACxNZrVEQVu1Wxb,0.618,171.312,0.0703,0.00863,1.21e-06,0.53,-6.859,0.52
01q4ccXbvPlCwZ1fPiFaeM,0.626,104.333,0.0255,0.126,1.3e-06,0.68,-8.519,0.96
01qIefOW1UdSDS1mHoSZ3x,0.528,126.013,0.0865,0.769,4.9e-06,0.751,-9.582,0.326
01rYWOpu72uFQORnWN84C3,0.536,59.999,0.0586,0.591,0.0,0.631,-7.194,0.829
01rgZI4xYSpyp4EFrdcS5E,0.902,125.389,0.0619,0.0717,2.65e-06,0.409,-4.639,0.613
01ryv8tqj6gZnGb18srxk7,0.806,85.794,0.132,0.256,0.0,0.515,-5.247,0.361
01sJXdKYhBIFreYyDmxewS,0.57,165.046,0.0334,0.495,0.00107,0.573,-8.697,0.273
01sw4YF783cqydsJQbJCwT,0.662,126.042,0.0722,0.133,0.0,0.728,-9.722,0.962
01tFpbYAKvX1x1msvTstC7,0.45,114.123,0.0321,0.27,0.213,0.682,-15.978,0.829
01txDiOnBPfMrVQwPQtDHR,0.762,119.988,0.0521,0.0905,0.792,0.915,-8.88,0.891
01u6AEzGbGbQyYVdxajxqk,0.55,84.802,0.179,0.856,3.44e-05,0.697,-11.496,0.844
01uqI4H13Gsd8Lyl1EYd8H,0.473,84.958,0.167,0.716,4.46e-05,0.688,-9.059,0.299
01uzxSsCYvZw8oJbXixEbE,0.782,86.989,0.041,0.0592,0.0,0.662,-8.069,0.739
01v7kv0RTVaX4Vs8GcOGOP,0.723,160.047,0.0579,0.0663,2e-06,0.402,-5.26,0.224
01vHGJRvJ6EZW9KO8NtZpi,0.681,134.062,0.0712,0.673,0.0,0.811,-4.715,0.468
01vU43Qzl66E9gclA7huJ0,0.443,122.427,0.0365,0.0119,0.0,0.333,-7.327,0.172
01vgFcfgUXeFJwErbindxn,0.9,92.565,0.145,9.95e-05,6.29e-06,0.285,-5.015,0.41
01wKeKPgYxdPYA8rfMveYc,0.717,90.147,0.246,0.385,0.0,0.682,-3.682,0.507
01wVEqDPRhm9ASroEaOe1C,0.205,104.248,0.05,0.985,0.94,0.333,-15.377,0.585
01wg7BC7KPmkOwrkHw7YQU,0.925,101.78,0.0372,0.000487,0.0151,0.407,-7.245,0.516
01wpPOPqQ3XyS6hBN00HfK,0.757,123.006,0.0356,0.0232,0.335,0.709,-6.064,0.166
